seed,algorithm,scene,alpha,episode_revenue,final_episode_gini,final_episode_bottom20_income_mean,mean_completion_rate
0,Local-First,normal,,1245.0,0.0954082998661312,16.25,0.9861785824121465
0,Demand-Greedy,normal,,350.0,0.20257142857142862,2.8333333333333335,0.27841898331752823
0,Local-First,shock,,1315.0,0.09648922686945505,16.916666666666668,0.9030106988805313
0,Demand-Greedy,shock,,631.0,0.13082408874801899,7.083333333333333,0.3572197461234674
42,Local-First,normal,,1210.0,0.12181818181818183,13.5,0.9866606752646891
42,Demand-Greedy,normal,,350.0,0.18866666666666676,3.3333333333333335,0.2859498541400015
42,Local-First,shock,,1269.0,0.13589440504334127,14.25,0.8989105520498744
42,Demand-Greedy,shock,,611.0,0.12823240589198037,6.916666666666667,0.35787206959506607
123,Local-First,normal,,1250.0,0.08648000000000011,16.75,0.9906208320768034
123,Demand-Greedy,normal,,346.0,0.18516377649325633,3.4166666666666665,0.27616900597817295
123,Local-First,shock,,1326.0,0.12139265962795376,15.916666666666666,0.9200629616194884
123,Demand-Greedy,shock,,563.0,0.15278271166370638,6.0,0.34261121556047014
456,Local-First,normal,,1269.0,0.08580246913580258,16.666666666666668,0.9821897744025516
456,Demand-Greedy,normal,,363.0,0.22052341597796143,2.75,0.2810134016328295
456,Local-First,shock,,1259.0,0.10501720942546999,15.666666666666666,0.842929743739831
456,Demand-Greedy,shock,,654.0,0.11738022426095829,7.916666666666667,0.35305281666429034
789,Local-First,normal,,1199.0,0.10815957742563254,14.833333333333334,0.9887113789877728
789,Demand-Greedy,normal,,353.0,0.20722379603399443,3.25,0.2946446366846409
789,Local-First,shock,,1243.0,0.12428264950388845,15.0,0.8814638519596677
789,Demand-Greedy,shock,,651.0,0.127572964669739,7.333333333333333,0.37599793901334216
0,PPO,normal,0.0,1216.0,0.08569078947368425,16.166666666666668,0.9650059276016197
0,PPO,normal,0.1,1216.0,0.09528508771929833,15.333333333333334,0.9652770232348399
0,PPO,normal,0.2,1229.0,0.09187686465961487,16.166666666666668,0.9735702671414306
0,PPO,normal,0.4,1213.0,0.09839241549876343,15.583333333333334,0.963795090266715
0,PPO,shock,0.0,1235.0,0.07269905533063437,17.083333333333332,0.8589639326605119
0,PPO,shock,0.1,1242.0,0.09100912506709613,16.25,0.8655020332760082
0,PPO,shock,0.2,1244.0,0.07781350482315119,16.416666666666668,0.8636670367719077
0,PPO,shock,0.4,1241.0,0.08242009132420103,16.333333333333332,0.8630425501048482
42,PPO,normal,0.0,1196.0,0.07998885172798231,16.166666666666668,0.9756783465473575
42,PPO,normal,0.1,1187.0,0.09122437517551263,15.25,0.9699085403224398
42,PPO,normal,0.2,1197.0,0.08792815371762752,15.916666666666666,0.9771364984367177
42,PPO,normal,0.4,1190.0,0.08179271708683489,15.666666666666666,0.9712541356197605
42,PPO,shock,0.0,1229.0,0.07373203146189322,17.083333333333332,0.8764246013802648
42,PPO,shock,0.1,1227.0,0.07760119532735676,16.666666666666668,0.8760891671605833
42,PPO,shock,0.2,1219.0,0.09345091605140832,15.833333333333334,0.8674582533779258
42,PPO,shock,0.4,1201.0,0.09160421870663349,15.5,0.8567332696607867
123,PPO,normal,0.0,1218.0,0.07764094143404487,16.166666666666668,0.9668979658104234
123,PPO,normal,0.1,1223.0,0.09788770782229506,16.25,0.9695752741918267
123,PPO,normal,0.2,1211.0,0.10458298926507026,15.333333333333334,0.960682133070627
123,PPO,normal,0.4,1209.0,0.09587813620071683,15.416666666666666,0.9604194718602521
123,PPO,shock,0.0,1273.0,0.09430479183032214,16.333333333333332,0.8917287513826796
123,PPO,shock,0.1,1273.0,0.08013877978528416,17.166666666666668,0.8950052218423135
123,PPO,shock,0.2,1281.0,0.08879781420765043,16.75,0.8929375416508929
123,PPO,shock,0.4,1298.0,0.08995891114535182,16.75,0.9041014000032591
456,PPO,normal,0.0,1235.0,0.0841700404858301,16.416666666666668,0.95806939715336
456,PPO,normal,0.1,1233.0,0.08863206271965396,15.916666666666666,0.9579098370918568
456,PPO,normal,0.2,1243.0,0.08628318584070804,16.5,0.9636800111539836
456,PPO,normal,0.4,1246.0,0.09296415195291607,15.5,0.9664689326477134
456,PPO,shock,0.0,1270.0,0.07863517060367453,16.916666666666668,0.8641384717008
456,PPO,shock,0.1,1268.0,0.09127234490010516,16.416666666666668,0.8614495200143134
456,PPO,shock,0.2,1273.0,0.08013877978528416,17.333333333333332,0.8637016950148763
456,PPO,shock,0.4,1272.0,0.08168238993710708,16.75,0.8628487843970657
789,PPO,normal,0.0,1157.0,0.09252376836646503,14.25,0.9567156469982283
789,PPO,normal,0.1,1158.0,0.09122049510650543,15.333333333333334,0.9598621097909946
789,PPO,normal,0.2,1158.0,0.08546344271732886,15.416666666666666,0.9584581548975901
789,PPO,normal,0.4,1158.0,0.09145077720207251,15.0,0.960038575612695
789,PPO,shock,0.0,1177.0,0.08409798923817613,15.833333333333334,0.8490448448971843
789,PPO,shock,0.1,1181.0,0.0856759808072256,15.5,0.8527219728457235
789,PPO,shock,0.2,1186.0,0.08069139966273187,15.75,0.8505575248722425
789,PPO,shock,0.4,1187.0,0.09080314518393706,15.416666666666666,0.8528351537720159
