algorithm,scene,alpha,driver_index,income
PPO,shock,0.0,0,24.0
PPO,shock,0.0,1,23.0
PPO,shock,0.0,2,25.0
PPO,shock,0.0,3,22.0
PPO,shock,0.0,4,16.0
PPO,shock,0.0,5,22.0
PPO,shock,0.0,6,17.0
PPO,shock,0.0,7,27.0
PPO,shock,0.0,8,23.0
PPO,shock,0.0,9,26.0
PPO,shock,0.0,10,19.0
PPO,shock,0.0,11,19.0
PPO,shock,0.0,12,24.0
PPO,shock,0.0,13,17.0
PPO,shock,0.0,14,18.0
PPO,shock,0.0,15,19.0
PPO,shock,0.0,16,15.0
PPO,shock,0.0,17,20.0
PPO,shock,0.0,18,14.0
PPO,shock,0.0,19,19.0
PPO,shock,0.0,20,17.0
PPO,shock,0.0,21,23.0
PPO,shock,0.0,22,18.0
PPO,shock,0.0,23,19.0
PPO,shock,0.0,24,18.0
PPO,shock,0.0,25,19.0
PPO,shock,0.0,26,24.0
PPO,shock,0.0,27,20.0
PPO,shock,0.0,28,18.0
PPO,shock,0.0,29,15.0
PPO,shock,0.0,30,21.0
PPO,shock,0.0,31,19.0
PPO,shock,0.0,32,24.0
PPO,shock,0.0,33,22.0
PPO,shock,0.0,34,23.0
PPO,shock,0.0,35,20.0
PPO,shock,0.0,36,12.0
PPO,shock,0.0,37,20.0
PPO,shock,0.0,38,24.0
PPO,shock,0.0,39,18.0
PPO,shock,0.0,40,20.0
PPO,shock,0.0,41,25.0
PPO,shock,0.0,42,21.0
PPO,shock,0.0,43,21.0
PPO,shock,0.0,44,16.0
PPO,shock,0.0,45,20.0
PPO,shock,0.0,46,23.0
PPO,shock,0.0,47,21.0
PPO,shock,0.0,48,17.0
PPO,shock,0.0,49,23.0
PPO,shock,0.0,50,14.0
PPO,shock,0.0,51,23.0
PPO,shock,0.0,52,21.0
PPO,shock,0.0,53,18.0
PPO,shock,0.0,54,23.0
PPO,shock,0.0,55,24.0
PPO,shock,0.0,56,25.0
PPO,shock,0.0,57,25.0
PPO,shock,0.0,58,20.0
PPO,shock,0.0,59,22.0
PPO,shock,0.1,0,19.0
PPO,shock,0.1,1,24.0
