algorithm,scene,alpha,revenue_mean,revenue_std,revenue_sem,gini_mean,gini_std,gini_sem,n_samples
Demand-Greedy,normal,,352.4,6.4265076052238514,2.874021572639983,0.20082981674866146,0.01436246036241577,0.006423087538901585,5
Demand-Greedy,shock,,622.0,37.242448899072144,16.655329477377503,0.13135847904688053,0.01302667816003827,0.005825707577371491,5
Local-First,normal,,1234.6,29.15990397789403,13.040705502387514,0.09953370564914962,0.015386427479008603,0.006881019554786791,5
Local-First,shock,,1282.4,36.204972034238615,16.191355718407276,0.11661523009402164,0.01575491851223276,0.00704581375466446,5
PPO,normal,0.0,1204.6,34.29723020886672,15.33818763739706,0.08888232992382468,0.0037989023273938697,0.0016989207687869707,5
PPO,normal,0.1,1207.0,33.022719451916736,14.768209099278083,0.08838286937817284,0.00794830960635224,0.0035545921172036405,5
PPO,normal,0.2,1205.0,36.823905279043935,16.46815108019112,0.0913971222055859,0.010827354367164874,0.0048421400762919745,5
PPO,normal,0.4,1201.0,33.44398301638129,14.956603892595403,0.08559476290583592,0.007158246578260256,0.00320126518973904,5
PPO,shock,0.0,1239.6,29.194177501686873,13.056033088193365,0.08564836523437161,0.008163470757437907,0.003650815109192571,5
PPO,shock,0.1,1240.0,34.322004603461025,15.349267083479912,0.08440439155356577,0.0048503982198313976,0.0021691640274973945,5
PPO,shock,0.2,1241.4,36.7464283978729,16.433502365594496,0.0781411626043517,0.008391955120880768,0.0037529964228833726,5
PPO,shock,0.4,1232.0,36.62649314362488,16.37986568931504,0.07778513076165341,0.007947995742501155,0.0035544517530222996,5
